"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"INTS10",0.123582205953822,0.189559023613468,0.176,0.138,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PAPLN",0.123589854015254,-0.558606482728366,0.091,0.116,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PRCC",0.124195735492508,-0.170605771747776,0.338,0.333,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"EDEM2",0.124298864294632,0.425644070241419,0.248,0.202,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RELT",0.124820478820007,-0.222244962911702,0.403,0.44,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"DTD1",0.125046859983238,0.377117410796199,0.14,0.106,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"SHLD2",0.125282811598448,0.224088858213291,0.447,0.393,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"HPS5",0.125360920304189,-0.309746696128755,0.265,0.264,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ANAPC10",0.125527713006374,0.343206051772622,0.209,0.176,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ATR",0.125549515512047,0.256313694502635,0.307,0.257,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"STXBP2",0.12576827013438,-0.151745979352016,0.479,0.499,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"VRK1",0.125895598222558,0.162936681924639,0.141,0.108,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000232949",0.126012328980876,0.260592247971788,0.222,0.246,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000285016",0.12604786629118,0.314314233094563,0.449,0.419,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"USP11",0.126053894171904,0.426739892580744,0.123,0.09,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RAB1B",0.126466768165087,-0.180199024897122,0.245,0.253,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"IMPDH2",0.126616819458982,0.303908582271251,0.128,0.095,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000273398",0.126729783607912,0.400832598714478,0.114,0.082,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"DCK",0.126777651756133,0.300816509974939,0.196,0.156,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"SLC20A1",0.126875398392478,0.170355077627673,0.382,0.329,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"FCHO1",0.126879394488632,0.218493051370215,0.114,0.082,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"SLC43A2",0.126907002490907,0.195157729084166,0.638,0.633,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"TBC1D2B",0.12704057423078,0.363467555485003,0.314,0.268,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RBBP5",0.127041027439065,-0.346396603614403,0.214,0.229,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"WIPI2",0.127161251057667,0.220587710202661,0.242,0.235,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"GCFC2",0.127267514973876,0.221731296711184,0.145,0.109,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"GTPBP2",0.12739726611821,-0.248612111334725,0.454,0.45,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"SAFB",0.127633155677631,-0.131156090054906,0.693,0.732,1,NA,NA,NA,"CD14_Mono_Infl","week12"
